Gene	Histone 0min Rep1	Histone 30min Rep1	Histone 60min Rep1	Histone 90min Rep1	Histone 0min Rep2	Histone 30min Rep2	Histone 60min Rep2	Histone 90min Rep2	Histone 0min Rep3	Histone 30min Rep3	Histone 60min Rep3	Histone 90min Rep3
YJL215C	0.052968242	0.032129103	0.0209145	0.0199176	0.049485075	0.035906833	0.02539805	0.024876469	0.035526075	0.0335199	0.02775325	0.021943181
YJL216C	0.048183404	0.035701175	0.023457335	0.024094533	0.057164473	0.044017936	0.029364511	0.024806811	0.052255316	0.037188901	0.030412428	0.025165423
YJL217W	0.023234995	0.016244425	0.012468209	0.011031224	0.02572337	0.019276374	0.014134444	0.014313022	0.028318333	0.017908169	0.016742308	0.010526553
YJL218W	0.019994616	0.013110118	0.009257635	0.009695447	0.020167491	0.017266291	0.010606585	0.011354212	0.02157897	0.018011645	0.011703648	0.012976323
YJL219W	0.018169198	0.014623868	0.00975066	0.008456483	0.026215049	0.013984506	0.013119022	0.011415727	0.025632677	0.017916011	0.014385842	0.010140883
YJL222W	0.044030913	0.093479064	0.045479398	0.012099498	0.214730296	0.00989066	0.001194963	0.008551206	0.204994638	0.0037411	0.083265356	0.003272786
YJL223C	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YJR001W	0.102385499	0.057603032	0.039723338	0.034093258	0.119155872	0.074665939	0.051742682	0.044607573	0.094642181	0.064852321	0.052724038	0.040617699
YJR002W	0.255447476	0.165041248	0.112098902	0.094598238	0.285981827	0.181016162	0.133871049	0.117492657	0.252363996	0.188500984	0.140483911	0.11208004
YJR003C	0.138428196	0.084662771	0.059122244	0.049039454	0.155885487	0.088560583	0.071932749	0.053740964	0.127874102	0.099637626	0.070765996	0.052888312
YJR004C	0.118476798	0.081529614	0.055506072	0.046601294	0.140120258	0.084147301	0.066211704	0.051604207	0.109970251	0.082587373	0.061537457	0.049405978
YJR005C-A	0.029905904	0.019057734	0.015109709	0.017541933	0.034343582	0.023537365	0.019661809	0.013164936	0.030835543	0.021940521	0.016151557	0.018535642
YJR005W	0.167018759	0.120805992	0.087101941	0.071664577	0.206401933	0.130844351	0.103402587	0.085004223	0.181065204	0.126710227	0.092774583	0.081862013
YJR006W	0.119425076	0.078333116	0.052491073	0.044816105	0.148767434	0.083000416	0.067570252	0.057320819	0.123926594	0.084092685	0.065179783	0.055114772
YJR007W	0.389796557	0.263237473	0.16711342	0.172232346	0.46527043	0.282698514	0.232484783	0.186354203	0.379018907	0.291828262	0.241206845	0.159619967
