Gene	ZOIBetaEstimate	ZOIBetaError	ZOIBetaLower95	ZOIBetaUpper95	ZOIBetaTrend	ZINegEstimate	ZINegError	ZINegLower95	ZINegUpper95	ZINegTrend
YAL029C	-2.49977873956029	0.873526054300235	-4.58821738188201	-0.798086719706991	negative	-0.460241988174491	0.308047208956866	-1.10347752166256	0.102609711148517	zero
YAL030W	-2.11267184347237	1.02642843617189	-4.24193851896064	0.0908388647049763	zero	-0.373471378398811	0.282739667372199	-0.928472902931803	0.182066289039877	zero
YAL032C	-2.4729028447683	0.90328700046638	-4.54792744987182	-0.633598157640462	negative	-0.410495836993287	0.269092779668579	-1.00759154112817	0.271410390953484	zero
YAL033W	-1.97668307454808	1.21498846863237	-5.00722069680311	0.208006504309775	zero	-0.257070268578766	0.380247815237259	-1.05990161760775	0.670018231607352	zero
YAL034C	-2.5419411768397	0.895060053306259	-4.69638351709972	-0.6697841685658	negative	-0.436598040400661	0.28674087008953	-1.067081784114	0.205365119564693	zero
YAL035W	-2.47237554799653	1.00168356310135	-4.9744041068788	-0.633519940513508	negative	-0.381140044827241	0.220416528669245	-0.854873265193111	0.133726376856954	zero
YAL036C	-2.4930689809347	0.86696437269032	-4.33501590526681	-0.796850006106047	negative	-0.434086553795155	0.263652360744643	-1.03970878349386	0.131924695451614	zero
YAL037C-A	-2.44464067035629	1.21746933141841	-5.19598886767065	-0.0517681080288224	negative	-0.393191554903102	0.673861865237257	-1.37136444813908	2.29038436704512	zero
YAL037W	-2.10531475856136	1.15635721897262	-4.52242944662009	0.553707700938951	zero	-0.350377329511496	0.394567996448513	-1.15999354521656	0.457660524617729	zero
YAL039C	-2.41362055905297	0.88359898095452	-4.16861000219384	-0.260329977196686	negative	-0.401875938097819	0.306965997584525	-1.01421911753461	0.391192210193538	zero
YAL040C	-2.46733704851889	0.865992901961499	-4.39883331627384	-0.679181729579516	negative	-0.438112561573312	0.215756237317408	-0.895866802500726	0.110795638171704	zero
YAL041W	-2.55395683109386	0.928900858307384	-4.52277053770675	-0.716626714491241	negative	-0.422862793479531	0.341172774954119	-1.14835163883182	0.273281550153431	zero
YAL043C	-2.34122445484213	0.953392489129134	-4.56269622008501	-0.2836417948616	negative	-0.374738241971792	0.202815290907817	-0.793174571844309	0.0840309756894106	zero
