Gene	Tx 0min Rep1	Tx 30min Rep1	Tx 60min Rep1	Tx 90min Rep1	Tx 0min Rep2	Tx 30min Rep2	Tx 60min Rep2	Tx 90min Rep2	Tx 0min Rep3	Tx 30min Rep3	Tx 60min Rep3	Tx 90min Rep3
YNL049C	39.4292	38.4911	36.0716	37.0437	39.4965	44.2866	38.9663	40.8225	37.4519	38.2761	41.3928	42.0256
YNL050C	25.7003	29.7875	30.4984	27.686	29.2157	32.1337	27.7732	29.3565	25.7579	25.302	27.8785	24.6461
YNL051W	22.0815	21.7761	20.5801	19.2568	19.0984	21.1845	20.5736	20.9455	16.941	17.7978	20.2968	19.2587
YNL052W	84.4277	103.627	108.456	117.199	105.979	122.061	116.041	133.057	104.92	105.568	107.181	119.961
YNL053W	17.1617	19.5656	20.383	19.1933	17.0735	19.3116	19.4114	17.6681	16.2033	17.0582	17.5163	18.5714
YNL054W	20.5334	18.5106	18.0568	18.9185	20.7923	24.0503	20.1626	21.4964	19.8939	18.9393	20.6253	22.0954
YNL054W-A	34.3301	29.0664	34.0435	34.8414	33.1061	39.7571	38.0613	46.8515	29.7052	36.8431	44.4542	50.466
YNL055C	1198.35	1214.37	1192.16	1277.91	1155.43	1454.78	1429.95	1537.55	1152.03	1306.52	1356.53	1550.66
YNL056W	30.2564	34.8816	40.9464	34.7022	39.1378	36.3734	34.569	36.8144	34.7526	36.3414	39.0286	35.4817
YNL057W	1.22982	4.6079	0.988808	2.12179	1.73298	3.10503	1.54257	0	3.08143	1.99514	1.65393	2.19372
YNL058C	21.4947	24.9502	23.9703	20.2114	26.4954	30.0746	24.9911	25.0069	28.7729	23.3269	23.2396	26.6816
YNL059C	30.9055	29.5662	31.3621	31.7812	32.7482	34.2256	31.0761	32.7758	32.0905	30.5881	34.4383	34.1135
YNL061W	58.2314	67.874	68.4983	67.6743	66.077	70.5899	62.049	64.6982	62.7099	66.8144	67.6701	60.9703
YNL062C	35.1463	38.2122	41.3737	37.0944	39.5437	36.7208	36.8823	33.2989	34.7672	37.0399	36.8979	33.7985
YNL063W	13.847	13.2246	13.6704	14.603	16.9789	17.2119	15.4592	17.3961	17.6358	16.0601	16.6501	15.6808
YNL064C	185.21	196.124	223.922	226.114	250.87	244.037	234.534	235.189	287.069	232.938	242.617	250.768
YNL065W	23.2403	19.9174	22.533	18.633	26.8045	24.6788	22.3201	19.3327	23.7376	22.6587	18.2588	15.8019
YNL066W	139.84	135.865	135.668	131.987	162.748	185.189	148.704	151.477	166.534	156.129	133.938	143.412
YNL067W	472.428	416.387	437.722	473.002	435.699	375.195	429.932	445.309	370.695	430.591	437.22	422.382
YNL067W-A	0	0	0	0	3.44451	0	7.15408	4.4645	0	0	0	0
YNL067W-B	0	5.15092	0	0	0	0	3.73609	0	0	0	0	0
YNL068C	18.9367	18.789	17.8268	15.643	18.4401	20.052	17.4599	17.816	16.4669	15.3974	14.2853	15.8514
YNL069C	2371.43	2133.66	2171.87	2105.25	2039.2	2032.23	1939.79	1942.25	2038.83	2054.46	1956.33	1752.44
YNL070W	2036.05	2112.21	1967.48	1827.91	1924.93	1938.44	1791.75	1797.54	1675.88	1649.01	2008.29	1531.09
YNL071W	241.11	229.786	234.611	234.181	236.988	252.439	245.566	252.109	252.007	246.223	239.877	249.187
