Gene	ZOIBetaEstimate	ZOIBetaError	ZOIBetaLower95	ZOIBetaUpper95	ZOIBetaTrend	ZINegEstimate	ZINegError	ZINegLower95	ZINegUpper95	ZINegTrend
YJL105W	5.66409073302469	1.35671986413692	2.76890294819971	8.62793482954498	positive	1.78230588423321	0.704410689429106	-0.115958738228244	2.93281061502596	zero
YJL106W	5.21935752235724	1.57885985186351	2.33881044680226	8.76924531193669	positive	1.44570712517432	0.409749462998949	0.646623809771027	2.34080766235186	positive
YJL109C	4.7382129109548	1.19387960504765	2.35282478633118	7.27875465161004	positive	1.13015904594555	0.590487575854501	-0.557969510406552	2.16250049149927	zero
YJL110C	4.94230438057072	1.6292654677723	0.0598005646696514	7.58427566101179	positive	1.36794460017673	0.424843367000647	0.330713097598239	2.18210471351526	positive
YJL111W	4.80595852477915	1.37656869342516	1.90321270734729	7.76101672055249	positive	1.14405111780177	0.311495902266518	0.516129098177997	1.91273186014362	positive
YJL112W	5.18584410843944	1.38650812328935	2.5250990720856	8.28789143080692	positive	1.48400392089114	0.349946543810246	0.782637930114074	2.27530252216216	positive
YJL113W	5.28024665525619	1.41738374118805	2.25043176570925	8.21576286946443	positive	1.57317120109331	0.363698445416672	0.847965005496505	2.4259138557013	positive
YJL114W	4.72609247175409	1.95140768014085	1.21689485243731	10.3480254471563	positive	1.22794675693404	0.449361622463608	0.221516363964355	2.09604864967435	positive
YJL115W	5.40742081565994	1.17485832523208	2.91056957798551	8.01223562977422	positive	1.36177103729714	0.465204381969759	0.243575055261536	2.2941362029222	positive
YJL116C	5.43659008731807	1.35066894571325	2.36256820529903	8.03696533956745	positive	1.35541494996405	0.341684315201795	0.635931836435769	2.07603416380126	positive
YJL117W	5.39965207016581	1.3568785709233	2.82912725868106	8.24364236589583	positive	1.4982418638156	0.501649213352692	0.406886760928008	2.55696929492315	positive
YJL122W	4.66259470027002	1.09460954531129	2.38296830925877	7.00544961588247	positive	0.937217871235472	0.444336078811395	0.149898561580969	1.71141482230244	positive
YJL123C	4.95108826748583	1.40402947235234	0.315443402463998	7.59403688076799	positive	1.30642469083597	0.333150853456177	0.672322433784593	2.0959543533725	positive
YJL124C	5.0912094851606	1.33479471530398	1.86546768011711	7.75474172283516	positive	1.42140897920349	0.573568647740521	-0.407575681674514	2.39656923637903	zero
YJL125C	4.62584587413278	1.31348833442013	1.68962507299009	6.9771310213066	positive	1.14467153494811	0.475219955750574	-0.266311202736331	1.87305287427083	zero
YJL126W	4.95836964034211	1.16416044968731	2.4742281532568	7.32637166234365	positive	1.16601354649008	0.459151795953206	0.0738201306762757	2.17304883842799	positive
YJL127C	5.43742526241587	1.47981848982951	2.71584751202294	9.24922457725419	positive	1.54716761736782	0.311409463900388	0.906934761145514	2.20366584886874	positive
YJL127C-B	4.86369546067154	1.66458414848496	0.759428423771631	9.30474130828906	positive	1.31268416570511	0.355816269485242	0.56166547958874	2.05730930438961	positive
YJL127W-A	3.98888033983335	1.32510530544076	0.578075224530199	6.62747130957128	positive	0.896077935598863	0.330273592931413	0.211955547830055	1.6423443602797	positive
YJL128C	4.93009458664318	1.21056661354505	2.21976058351474	7.42917015744444	positive	1.32461536093453	0.484942764683518	0.489681645531519	2.36674029897875	positive
YJL129C	5.13205126043694	1.3124453931441	2.7633005090865	8.61103853585265	positive	1.36062185772558	0.430264570915175	0.55338011461032	2.76157447189901	positive
YJL130C	4.65319755334288	1.18884400446793	1.95316981723882	7.01716212926312	positive	1.12910810578071	0.33868538520932	0.407797147337947	1.91764981995518	positive
YJL131C	4.96699947667482	1.45264621372733	1.92436301939326	8.00255155019753	positive	1.14178316494038	0.520800497564525	-0.122680045735281	2.09314045768885	zero
YJL132W	4.8379655577881	1.429963804442	2.05818330514135	8.1460856517025	positive	1.17725674915638	0.465030883529443	0.20463401655836	2.17046243143571	positive
YJL133C-A	4.5279655206827	1.34334621453473	1.4519256367137	6.99708817194376	positive	1.19588041732628	0.433823909571534	0.34628347969117	2.33712216589732	positive
YJL133W	5.38422388403867	1.03937858693446	3.20863131886949	7.49802624071145	positive	1.46145400556281	0.498116680690404	0.368687635601834	2.48066749300946	positive
YJL136C	4.9951397390501	1.09719626910383	2.62949830564774	7.3231102002301	positive	1.14531432791447	0.566266450291401	-0.0929201542531628	2.31218308276341	zero
YJL136W-A	4.61453074388984	1.73060567318667	-0.222642013690741	7.75757078446334	zero	1.26329081474728	0.42700149678882	0.326535783062647	2.10801829551873	positive
YJL137C	4.75994883325119	1.05891723016209	2.44251357371582	6.98304862757467	positive	0.975055902347121	0.422714999278679	-0.265416045561887	1.77808681017907	zero
YJL138C	4.85617295534189	1.37736525484853	2.19793659762152	8.27247414932861	positive	1.04001623508489	0.339304369590385	0.190521374117071	1.71916419041615	positive
YJL139C	5.3362813372838	1.20158649883607	2.79990754401831	7.90781673353253	positive	1.61922561340359	0.46643762242146	0.605722991836306	2.82249065632191	positive
YJL140W	5.23880105604691	1.32647065314034	2.55898725830819	7.95213633954004	positive	1.55583930636208	0.434430718535146	0.662806801603579	2.55724399505536	positive
YJL143W	5.17684229773928	1.31106731021707	2.39093014166304	7.75344191306176	positive	1.43660559919487	0.361314498206472	0.667524182396642	2.25957634486052	positive
YJL144W	4.87182783364115	1.07022151391097	2.6711694532707	7.08260686238635	positive	0.965104498275873	0.406574048496201	-0.093915710037389	1.78950091467651	zero
YJL145W	4.83172129399258	1.20911801541337	2.12976052676234	7.26259468896839	positive	1.31451587874334	0.425201485205349	0.432271102588027	2.26761169489787	positive
YJL146W	5.13968070058486	1.42638408474985	2.42263992661503	8.16975487474664	positive	1.37476832042118	0.3940608631056	0.517616889618336	2.22871532742098	positive
YJL147C	5.06869972040571	1.31203427325294	2.32490629675938	7.86150258141181	positive	1.23216398348172	0.595438094625038	-0.0825132504447274	2.37220369772808	zero
YJL148W	4.74021415069481	1.43504475253705	2.14662648367619	9.09709204677921	positive	1.13098762126863	0.39355406688736	0.22996816019658	1.98747142646553	positive
YJL153C	5.76088626705971	1.58234010330179	3.17501775329237	11.4155103714092	positive	1.29788336414368	0.414385227905066	0.474809258164367	2.23634149352213	positive
YJL154C	5.27022893896333	1.2857451878035	2.63609957914905	7.96764267831539	positive	1.54976162660196	0.375127927274034	0.811227597580118	2.44442522952963	positive
YJL155C	5.26812189687794	1.73941799511879	0.383077638586946	8.57785884270608	positive	1.69917386232789	0.441453051643344	0.783854669792794	2.56453239038051	positive
YJL156C	5.25873724377405	1.18190995291186	2.84372123862969	7.87283041873002	positive	1.46383098202837	0.455368292889878	0.387280240162675	2.45640253970908	positive
YJL156W-A	5.16799879596954	1.42954154514413	1.90838227534509	7.94259659614581	positive	1.27424455296204	0.759580021754026	-0.634964755021599	2.83397728616847	zero
YJL157C	4.76008295489751	1.25318988354917	1.97534603344968	7.1961457122108	positive	1.16553204595949	0.318526898167428	0.456749890416717	1.87812105213795	positive
YJL158C	5.61447118735563	1.23713380001338	2.77214356623314	8.08322697078263	positive	1.60874985494577	0.431896754792596	0.682431062948477	2.57777992290802	positive
YJL159W	5.79310775403516	1.11450581633044	3.56774051154801	8.17260772300777	positive	1.7538437141705	0.645975488505888	0.604959850968428	3.17470078374115	positive
YJL160C	4.58061451976119	1.64113993346606	-0.472837380695837	7.73492838576971	zero	0.990384542397582	0.481196857767589	-0.380288190127398	1.9169124311314	zero
YJL161W	4.57657334828218	1.18266751814408	2.03413617381937	7.05809807512789	positive	0.991917844142322	0.457057774051855	-0.0120213652106377	1.91951102045415	zero
YJL162C	5.04608627807034	1.53437876042814	2.06422384224158	9.6043829511988	positive	1.37132514568897	0.433981203323458	0.446182928429904	2.54160686770357	positive
YJL163C	4.82018740568622	1.53587379861439	1.2734841702047	7.56229331198273	positive	1.31276270681707	0.368543576562568	0.624388331536514	2.19943837491428	positive
YJL164C	6.51253062072925	2.25731521401385	3.29079142362471	12.80342757958	positive	1.95086173351828	0.444201550308347	0.98451155053227	2.99334081733604	positive
YJL165C	5.19241740823124	1.23750511070657	2.78990082627588	7.77866643320294	positive	1.4515502131433	0.464233589827785	0.539798523712044	2.85265575902912	positive
YJL166W	4.92595109719673	1.37099536011735	2.08466195566642	7.87799658590923	positive	1.10100043078756	0.42334069697849	-0.242191949595371	1.87115123785785	zero
YJL167W	5.79807725303638	1.43757119406252	2.70028234186327	9.30905542554018	positive	1.79779720473677	0.484577834744991	0.686390435002728	2.79081189093684	positive
YJL170C	4.59731231803644	1.32917585900473	1.48354661834536	7.15165004892942	positive	1.07000759074845	0.537223589060262	-0.46561430450854	2.1721637625729	zero
YJL171C	5.07662370761987	1.42929627745256	1.06109005661011	7.80894634364839	positive	1.50102478462833	0.385237079622812	0.646842630249255	2.29511062490857	positive
YJL172W	5.3067775957007	1.44764576807367	1.50395815930632	8.0549195358251	positive	1.65363611177247	0.431960018965491	0.733906769142528	2.5312284543305	positive
