Gene	Tx 0min Rep1	Tx 20min Rep1	Tx 40min Rep1	Tx 60min Rep1	Tx 0min Rep2	Tx 20min Rep2	Tx 40min Rep2	Tx 60min Rep2	Tx 0min Rep3	Tx 20min Rep3	Tx 40min Rep3
YGL037C	426.264	541.58	575.303	442.814	315.573	363.554	507.02	436.54	402.38	425.166	563.918
YGL038C	43.6788	48.7989	52.6326	51.9447	42.7364	43.2865	46.8491	47.6346	46.5931	47.0603	53.0756
YGL039W	61.1964	64.0081	58.8551	52.4742	44.9815	44.0631	43.4931	44.8161	52.8008	43.0536	45.1181
YGL040C	64.3249	77.7803	71.8665	60.0776	59.6924	61.9887	68.2685	64.688	66.1291	65.9563	69.1929
YGL041C	8.41364	0	0	4.34837	1.51582	9.17663	1.67148	6.16525	8.92396	2.45794	4.61076
YGL041C-B	24.7357	10.0599	8.64473	10.9577	26.7386	11.5624	18.9543	7.76809	11.244	24.7756	20.3331
YGL041W-A	41.2291	37.974	42.6304	48.2569	37.2125	41.2207	42.4794	42.7501	42.2293	39.4401	40.8686
YGL042C	0.503639	1.79225	1.2321	2.73308	0.816631	2.05992	1.20066	2.21431	0.400641	1.76558	2.07
YGL043W	56.411	60.1014	59.3483	60.0981	62.3646	65.6167	64.9485	68.0168	59.4926	59.4394	59.755
YGL044C	14.9594	16.164	16.0803	15.1114	15.8032	18.0589	19.3444	19.5984	19.9417	19.5468	19.1161
YGL045W	14.8889	17.336	18.8311	16.3654	15.8437	17.3374	17.5965	17.6323	15.3837	15.1558	17.3009
YGL047W	21.0188	23.4173	25.0508	19.8668	16.6473	20.434	21.4886	21.0888	23.0225	23.4515	27.1793
YGL048C	110.795	122.034	119.054	106.429	94.5083	92.9907	105.771	103.591	110.475	108.947	112.357
YGL049C	38.9788	41.8494	39.4493	35.6413	36.2238	35.8625	37.4559	38.2598	38.3719	35.5717	39.0763
YGL050W	11.4279	13.5195	14.579	16.2223	15.7023	16.8682	17.4964	22.4795	20.2825	15.8022	18.3285
YGL051W	0.5744	0.635928	0.364313	0.54425	0.551921	0.678697	0.798787	0.888571	0.86309	0.671214	0.839406
YGL052W	4.53275	5.37674	4.92839	4.68527	4.89979	5.35579	4.80263	7.01197	6.41025	6.17954	4.14
YGL053W	16.4604	18.0404	18.7307	21.6398	14.8164	14.4376	16.7483	18.6199	18.272	16.4007	18.7269
YGL054C	186.571	189.747	197.77	210.173	191.847	209.583	193.893	194.343	178.732	200.557	228.408
YGL055W	881.678	852.205	694.911	603.999	618.581	419.36	453.606	493.664	717.108	414.018	409.524
YGL056C	47.3931	45.3671	43.3938	39.7829	47.9433	44.3677	46.8382	48.0348	41.5159	37.1415	40.266
YGL057C	17.4144	16.7052	17.0178	17.6091	16.1901	14.5936	15.4273	17.0606	16.714	13.8521	15.6375
YGL058W	92.9138	89.143	83.7664	77.7959	86.9797	75.5639	88.3957	79.9319	81.7149	81.9031	76.9082
YGL059W	29.1029	30.7573	31.4497	33.6678	38.5872	38.0867	38.408	39.523	32.4908	31.68	33.2232
YGL060W	18.6904	19.6385	20.4775	18.2027	18.0184	17.7165	18.1725	19.113	17.0079	17.2474	17.9316
YGL061C	13.5814	14.8548	13.5203	17.2289	14.8082	15.1497	13.9461	14.8203	13.423	12.3666	15.7554
YGL062W	160.562	200.264	210.257	190.155	187.59	220.588	259.596	278.168	153.63	196.144	273.689
YGL063C-A	0	6.70585	0	7.30432	2.54625	3.85368	5.61546	6.90418	7.49516	0	3.87254
YGL063W	7.67994	8.51059	7.49877	6.26712	7.99231	8.7346	8.63239	7.87373	8.54769	7.26217	6.86681
YGL064C	10.6528	9.8016	10.3055	10.8177	10.596	9.84072	10.8874	10.6109	9.05423	9.63802	10.5215
YGL065C	23.8031	25.2887	24.3337	22.1865	22.1686	21.507	23.4701	24.0611	21.7397	22.1134	24.4913
YGL066W	18.5415	18.5037	18.8621	17.3169	20.9365	21.4742	23.2877	22.9947	22.1445	18.8967	20.4698
YGL067W	38.9645	45.0841	42.5401	39.4704	39.9841	36.4982	41.7163	44.5816	42.2137	38.2874	42.5123
YGL068W	50.4104	53.3855	49.3718	46.1305	39.933	47.8966	46.2535	42.5879	44.8553	43.6489	48.0597
YGL069C	0.538943	1.43841	1.20859	0.52226	1.6021	0.77151	1.12422	1.67841	0.857449	0.944672	1.10755
YGL070C	84.1559	83.0249	82.2721	97.391	90.3149	86.2989	89.6162	83.3479	89.7105	95.0103	77.3512
YGL071W	33.9375	38.9393	35.1822	34.597	39.6693	38.3725	39.8633	40.5469	35.3359	36.3994	37.4585
YGL072C	3.93281	5.4115	6.20031	5.48794	4.81809	4.28946	4.8441	4.03457	5.00562	6.43395	2.37074
YGL073W	25.5765	27.1394	27.535	26.2869	25.7834	26.7547	28.0539	28.8697	24.9802	24.7363	27.374
YGL074C	0	0.265274	0.303942	0.866847	1.20871	0	0.66642	0.27312	0	0	0
YGL075C	7.3791	7.76458	7.83298	7.49589	7.64998	7.28508	8.87158	8.97311	7.97006	7.61003	9.56923
YGL076C	595.412	532.787	505.558	501.463	573.812	534.179	500.366	490.798	558.437	523.873	477.674
YGL077C	106.368	122.7	97.1168	78.786	93.3974	91.0359	93.9736	94.7169	103.915	88.7324	96.5378
YGL078C	60.0097	50.8199	47.8952	52.4222	61.6825	48.5489	51.3142	56.5623	56.5741	48.4096	50.0703
YGL079W	26.0357	28.9882	27.5714	35.3908	26.6403	28.3579	30.4814	30.0546	27.7473	27.1315	30.1384
YGL080W	85.8941	83.1401	88.9963	94.4769	76.5733	86.2989	78.2938	80.5638	70.0964	79.8838	92.5358
YGL081W	2.07878	1.97268	2.99147	2.49632	1.91665	2.10058	2.23494	2.68811	2.30214	2.60777	2.47942
YGL082W	37.7332	43.135	42.4113	38.1561	35.4051	37.6872	39.621	38.0154	36.856	40.8041	43.8723
YGL083W	9.35163	10.7869	10.5623	10.2288	9.49885	9.77104	10.0018	11.3816	9.70508	9.64429	10.9785
YGL084C	30.1583	35.1285	35.4827	32.1118	28.9037	32.041	32.2952	34.3085	31.5785	31.1267	35.7178
YGL085W	14.0967	15.4629	14.8739	14.9628	15.9482	13.8459	17.1644	16.9939	14.3891	12.2217	17.1532
YGL086W	14.166	15.2269	17.565	18.5477	15.8162	15.4666	15.0567	17.5636	16.2902	15.3088	17.4192
YGL087C	111.649	116.621	125.997	134.139	102.958	106.48	121.941	122.526	97.5153	115.01	120.775
YGL088W	8395.56	7029.16	9950.33	13693.4	9950.59	10577.2	9144.1	10963.4	7349.38	9955.23	8482.25
YGL089C	1.27644	0.726773	1.66542	1.38536	1.10384	0.835317	1.06505	2.05774	1.21848	1.11869	1.04925
YGL090W	10.9315	12.383	13.0446	12.4455	9.97609	11.9384	12.6549	13.3574	11.1999	10.5837	11.8557
YGL091C	21.5314	25.5686	26.2728	23.8151	21.8895	23.9679	28.3444	28.3187	26.445	22.5684	25.5439
YGL092W	43.2027	44.7638	43.2243	41.6827	43.1305	43.4944	43.7302	46.1971	45.7773	42.3588	44.7468
YGL093W	13.2212	14.6025	16.6269	15.6986	13.9715	15.5765	16.2026	17.0861	15.508	15.3648	17.1329
YGL094C	25.8254	26.782	26.4357	26.0708	24.3585	24.183	25.7238	26.4662	25.9376	25.8354	27.0418
YGL095C	17.5989	21.1873	23.3328	24.1265	19.7019	22.4279	23.0567	24.8585	23.1199	21.5042	23.6975
YGL096W	5.15052	8.18559	8.80789	9.18748	7.10811	9.77625	9.83484	10.5163	9.22862	9.1156	9.90629
YGL097W	44.1152	51.8	48.1965	42.1715	46.9664	50.5295	52.6712	55.3935	52.9196	47.8453	52.9896
YGL098W	17.676	20.2472	20.238	19.7472	18.3353	18.1105	20.8567	21.8054	19.0795	20.0294	21.9662
YGL099W	39.3428	37.8008	34.2517	33.3168	36.7497	34.9704	33.4779	36.7403	34.699	32.4998	33.2122
YGL100W	46.6156	48.8736	49.5091	45.4613	48.2497	51.0311	52.1002	53.1412	51.3602	46.4269	53.909
YGL101W	27.2065	25.489	26.4684	25.2758	27.9903	27.3269	26.0394	30.6791	27.7349	27.5518	29.3192
YGL102C	0.485049	0.115073	0.131846	1.50411	0.436937	0.793553	0.385446	0.473905	0.643087	0.566803	0.531624
YGL103W	1791.5	1767.62	1592.9	1561.58	1868.55	1797.1	1723.63	1697.78	1827.79	1693.3	1617.49
YGL104C	8.64443	11.963	13.4131	11.8393	7.74807	8.68195	13.1949	12.4928	9.76091	10.8801	15.5737
YGL105W	314.424	320.137	294.771	267.466	289.627	282.305	281.14	280.184	298.943	283.373	284.066
YGL106W	216.028	234.13	224.808	181.728	219.277	196.612	225.313	230.869	216.423	204.176	219.711
YGL107C	20.5716	22.2678	21.7126	21.0149	20.3594	20.4438	21.1995	21.5526	18.3622	19.401	21.3074
YGL108C	21.0745	26.427	27.6878	31.3788	18.8034	27.0903	27.3135	26.5959	21.6875	26.3857	27.3603
YGL109W	0.38743	0.551483	1.57968	0.6007	1.047	0	0.46181	0.567794	0.308197	0.339549	1.2739
YGL110C	12.35	14.8915	16.4054	16.1373	12.7308	14.9633	14.9663	16.473	16.2884	14.8237	17.1699
YGL111W	34.0171	36.1528	31.3525	33.6944	37.3771	32.6586	35.4034	40.4125	34.2912	33.428	34.6393
YGL112C	35.2946	36.7809	38.3327	36.1645	37.4759	37.2275	39.4061	41.4394	38.6563	34.6743	38.5672
YGL113W	17.2002	18.3684	18.211	17.903	16.875	17.2253	16.9011	17.6259	15.7238	17.3378	15.5677
YGL114W	16.294	18.2327	17.8393	15.2516	20.076	21.5605	23.0369	22.6745	21.0628	19.7147	21.5419
YGL115W	65.8858	73.0712	68.692	60.8224	60.2974	62.0956	67.2363	65.3988	62.6366	60.5062	69.3437
YGL116W	18.4649	20.8439	19.5822	18.2744	18.8876	21.1013	22.9078	21.6084	19.1903	20.3534	21.5368
YGL117W	163.75	171.024	156.011	149.836	247.034	232.732	251.551	241.653	208.993	188.299	186.896
YGL118C	0.153984	0.219186	0.502272	0.238748	0.749035	0.251922	0.64241	0.338503	0.122493	0.134953	0
YGL119W	16.2763	17.6811	18.0306	18.0744	15.955	15.5302	16.2688	17.8647	14.4027	16.3345	18.0993
