gene,assay,estimate,est_error,lower_95,upper_95,eff_sample,rhat,seed,run_limit_stop,is_pos,is_neg,category,attempts
YBR259W,writer_add,1.31980264105143,0.371873509337201,0.602062674807035,2.00821157058522,120.829824505203,1.03872383503127,126,FALSE,TRUE,FALSE,positive,4
YBR260C,writer_loss,-0.609276318818416,0.176699245232628,-0.985204066301618,-0.26052893335119,454.481027336615,1.01425322231044,124,FALSE,FALSE,TRUE,negative,2
YBR260C,writer_eraser_loss,-0.409313415994357,0.229498936707879,-0.905840251042923,0.089225802645474,1798.10332972194,1.00178586891534,124,FALSE,FALSE,FALSE,zero,2
YBR260C,writer_add,1.54583902990412,0.623709100971756,0.124486469980198,3.50033131980292,88.0089219683273,1.04763966388392,124,FALSE,TRUE,FALSE,positive,2
YBR261C,writer_loss,-0.580702429364156,0.268194674381326,-1.1981684015152,-0.0405026922502708,377.5790809066,1.01097058613243,123,FALSE,FALSE,TRUE,negative,1
YBR261C,writer_eraser_loss,-0.425205982898491,0.234084525355787,-0.954951953456877,0.0447906367807712,1510.44229042563,1.00085679982177,123,FALSE,FALSE,FALSE,zero,1
YBR261C,writer_add,1.14698011398603,0.442618631512035,0.280989721475878,2.35091469887529,694.013616104517,1.009135506453,123,FALSE,TRUE,FALSE,positive,1
YBR262C,writer_loss,-0.384005424467499,0.298947132693668,-0.988207293473673,0.388910780295054,704.426800823883,1.00251781492574,123,FALSE,FALSE,FALSE,zero,1
YBR262C,writer_eraser_loss,-0.350749431785703,0.34652619188989,-1.12679049312314,0.346751439894202,700.506284424009,1.00288983346427,123,FALSE,FALSE,FALSE,zero,1
YBR262C,writer_add,0.885331399851082,0.443292269620233,-0.121081015697108,1.89927270581144,365.163878309181,1.01106171805683,123,FALSE,FALSE,FALSE,zero,1
YBR263W,writer_loss,-0.556051171826124,0.226177897545418,-1.0900302534442,-0.148726694512161,345.761052943471,1.01267969560136,123,FALSE,FALSE,TRUE,negative,1
YBR263W,writer_eraser_loss,-0.425337928926805,0.320443410352957,-1.07367005884521,0.318788618463209,287.792416341718,1.01742488622529,123,FALSE,FALSE,FALSE,zero,1
YBR263W,writer_add,1.4041601296153,0.370511987608372,0.663046288350353,2.19281895700657,979.905778313811,1.00176231912242,123,FALSE,TRUE,FALSE,positive,1
YBR264C,writer_loss,-0.534437407429471,0.311347584159573,-1.07296621746042,0.388809379876564,90.8292977639221,1.0381299033573,125,FALSE,FALSE,FALSE,zero,3
YBR264C,writer_eraser_loss,-0.469277681076774,0.335015960981406,-1.83370839199956,0.0278724640461244,59.6602042725876,1.07308559660024,125,FALSE,FALSE,FALSE,zero,3
YBR264C,writer_add,1.26262477799711,0.382138277900006,0.383365940332106,2.08170615897036,1176.69666221607,1.00612707322477,125,FALSE,TRUE,FALSE,positive,3
YBR265W,writer_loss,-0.553298999200317,0.230069154945724,-1.09672107789763,-0.0693725034802667,972.919351762736,1.00615950354205,126,FALSE,FALSE,TRUE,negative,4
YBR265W,writer_eraser_loss,-0.416864948495584,0.255516912610964,-0.948900520129912,0.162523851416706,1055.63615478349,1.00508215213137,126,FALSE,FALSE,FALSE,zero,4
YBR265W,writer_add,1.47031429600202,0.424300279505084,0.498463541400668,2.3017458282208,120.706640206687,1.02908206483688,126,FALSE,TRUE,FALSE,positive,4
YBR268W,writer_loss,-0.486543249090526,0.250830463012355,-1.0341901510025,0.0447134659632626,2313.55583345905,1.00121518044183,124,FALSE,FALSE,FALSE,zero,2
YBR268W,writer_eraser_loss,-0.296732948267569,0.414218129086618,-1.46870455081935,0.550370895997067,63.1871944929293,1.05789899496591,124,FALSE,FALSE,FALSE,zero,2
YBR268W,writer_add,0.909331712504585,0.415307630905041,-0.0295199389920829,1.79945083949542,306.260044409757,1.02188336016927,124,FALSE,FALSE,FALSE,zero,2
YBR269C,writer_loss,-0.497268878423674,0.317412793782981,-1.10778369769568,0.187436352689312,289.064179444852,1.01554562190228,124,FALSE,FALSE,FALSE,zero,2
YBR269C,writer_eraser_loss,-0.313790759942872,0.238261699318948,-0.814453067703346,0.202702266774558,151.139390387272,1.03160002609984,124,FALSE,FALSE,FALSE,zero,2
YBR269C,writer_add,1.0833181856957,0.364849366005184,0.338316685398788,1.83624728243507,710.995838351588,1.01192174824565,124,FALSE,TRUE,FALSE,positive,2
YBR270C,writer_loss,-0.617855531712259,0.246347717852472,-1.26169981534218,-0.123455149786114,375.16070228756,1.01032651836662,123,FALSE,FALSE,TRUE,negative,1
YBR270C,writer_eraser_loss,-0.430856385105817,0.306539864278298,-1.07798137358939,0.219740479181277,268.523915291199,1.02007159807721,123,FALSE,FALSE,FALSE,zero,1
YBR270C,writer_add,1.36244434279335,0.455262207211725,0.419670786714253,2.40862014125814,449.512088887655,1.01157880346666,123,FALSE,TRUE,FALSE,positive,1
YBR271W,writer_loss,-0.603919678403363,0.214701671176944,-1.09159249143528,-0.0814589226696467,438.183125226313,1.00785579850803,123,FALSE,FALSE,TRUE,negative,1
YBR271W,writer_eraser_loss,-0.437625307172146,0.241441223182501,-0.982220446971567,0.133883877046501,2349.32106956008,1.00327274479482,123,FALSE,FALSE,FALSE,zero,1
YBR271W,writer_add,1.30443013094988,0.347905492067079,0.582703469115937,2.0256556872867,679.168338285854,1.01323870237996,123,FALSE,TRUE,FALSE,positive,1
YBR272C,writer_loss,-0.531963415117517,0.255087555111733,-1.10322414047671,0.183224692266709,75.7393592399257,1.065603533012,124,FALSE,FALSE,FALSE,zero,2
YBR272C,writer_eraser_loss,-0.426293270870845,0.23579249706851,-1.03642626219012,0.0408257219843332,239.972145330813,1.00215102551317,124,FALSE,FALSE,FALSE,zero,2
YBR272C,writer_add,1.34754286712305,0.443628495632506,0.153612096590637,2.35439211059118,149.954931592388,1.02758548757644,124,FALSE,TRUE,FALSE,positive,2
YBR273C,writer_loss,-0.543681231711079,0.210754712787661,-1.02228173568711,-0.104665393441662,2018.66243949232,1.00087984542755,128,FALSE,FALSE,TRUE,negative,6
YBR273C,writer_eraser_loss,-0.424524430305149,0.200326183866841,-0.915728782443618,-0.0117313599321455,878.599386896708,1.00681560966031,128,FALSE,FALSE,TRUE,negative,6
YBR273C,writer_add,1.56645013729263,0.428217789961509,0.712592151456694,2.80128408103937,109.332337865742,1.03240802519128,128,FALSE,TRUE,FALSE,positive,6
