Gene	rph1d_RNA_Rep1	rph1d_RNA_Rep2	rph1d_RNA_Rep3
YOR335C	210.08	220.815	198.631
YOR335W-A	1016.64	1280.8	902.784
YOR336W	13.7193	13.7988	13.4118
YOR337W	15.4471	14.059	13.3877
YOR338W	17.1651	16.548	13.5626
YOR339C	4.53434	4.58191	5.61613
YOR340C	80.4473	88.3385	84.8364
YOR341W	146.136	155.439	146.856
YOR342C	51.3812	54.6708	51.2636
YOR343C	7.52028	5.58306	4.75631
YOR343W-A	0.235633	0.13606	0.298059
YOR343W-B	1.49085	1.60692	1.29912
YOR344C	38.3972	39.4567	40.4889
YOR345C	22.6155	23.1496	23.9259
YOR346W	16.133	16.8431	16.8231
YOR347C	9.16671	9.45327	9.25951
YOR348C	0.718284	0.933195	0.730107
YOR349W	6.84043	6.84722	6.37564
YOR350C	8.51847	8.12846	8.58368
YOR351C	1.78551	1.45895	1.38496
YOR352W	9.15988	9.0008	9.41835
YOR353C	8.40036	9.32537	9.41611
YOR354C	23.9508	25.3502	23.6426
YOR355W	86.3637	92.3336	79.019
YOR356W	17.2151	15.7046	17.3144
YOR357C	50.8554	54.3406	49.2964
YOR358W	14.4178	10.2929	11.9925
YOR359W	24.6964	25.619	23.0785
YOR360C	40.7776	43.0645	38.4565
YOR361C	131.104	135.461	123.209
YOR362C	128.203	137.846	126.541
YOR363C	5.61377	5.76319	5.32093
YOR364W	1.39809	1.8164	0.88424
YOR365C	1.82359	1.52098	1.63748
YOR366W	1.99724	3.11378	3.03164
YOR367W	32.701	32.3257	26.0027
YOR368W	9.86112	11.0844	9.95118
YOR369C	3947.42	3790.61	3554.21
YOR370C	47.1217	49.7156	44.9249
YOR371C	13.5177	13.9963	12.6723
YOR372C	18.8979	20.2421	19.3334
YOR373W	7.8722	8.92846	8.8884
YOR374W	28.1537	29.1788	25.3739
YOR375C	144.582	151.659	135.037
YOR376W	1.39809	1.21093	0.44212
YOR376W-A	90.72	168.377	65.574
YOR377W	18.6517	17.877	16.6469
YOR378W	6.71599	6.85169	6.08554
YOR379C	9.31888	4.43927	6.18856
YOR380W	4.7306	4.64539	4.34498
YOR381W	7.60168	8.85578	6.98677
